ID,WL,U,V,Sal,Temp,TRACE_1,WQ_1,WQ_2,WQ_3,WQ_4,WQ_5,WQ_6,WQ_7,WQ_8,WQ_9,WQ_10,WQ_11,WQ_12,WQ_13,WQ_14,WQ_15
18,0.286,0,0,35,23.09,0,20,0,193.125,35,0.6429,1.2857,0.5806,0.01,500,500,22,22,0.6,0.76,16
19,0.286,0,0,35,23.09,0,20,0,193.125,35,0.6429,1.2857,0.5806,0.01,500,500,22,22,0.6,0.76,16
20,0.286,0,0,35,23.09,0,20,0,193.125,35,0.6429,1.2857,0.5806,0.01,500,500,22,22,0.6,0.76,16
21,0.286,0,0,35,23.09,0,20,0,193.125,35,0.6429,1.2857,0.5806,0.01,500,500,22,22,0.6,0.76,16
22,0.286,0,0,35,23.09,0,20,0,193.125,35,0.6429,1.2857,0.5806,0.01,500,500,22,22,0.6,0.76,16
23,0.262,0,0,35,22.4298,0,20,0,193.125,35,0.6429,1.2857,0.5806,0.01,500,500,22,22,0.6,0.76,16
24,0.262,0,0,35,22.4298,0,20,0,193.125,35,0.6429,1.2857,0.5806,0.01,500,500,22,22,0.6,0.76,16
25,0.262,0,0,35,22.4298,0,20,0,193.125,35,0.6429,1.2857,0.5806,0.01,500,500,22,22,0.6,0.76,16
26,0.262,0,0,35,22.4298,0,20,0,193.125,35,0.6429,1.2857,0.5806,0.01,500,500,22,22,0.6,0.76,16
27,0.262,0,0,35,22.4298,0,20,0,193.125,35,0.6429,1.2857,0.5806,0.01,500,500,22,22,0.6,0.76,16
28,0.262,0,0,35,22.4298,0,20,0,193.125,35,0.6429,1.2857,0.5806,0.01,500,500,22,22,0.6,0.76,16
29,0.262,0,0,35,22.4298,0,20,0,193.125,35,0.6429,1.2857,0.5806,0.01,500,500,22,22,0.6,0.76,16
30,0.262,0,0,35,22.4298,0,20,0,193.125,35,0.6429,1.2857,0.5806,0.01,500,500,22,22,0.6,0.76,16
31,0.262,0,0,35,22.4298,0,20,0,193.125,35,0.6429,1.2857,0.5806,0.01,500,500,22,22,0.6,0.76,16
32,0.262,0,0,35,22.4298,0,20,0,193.125,35,0.6429,1.2857,0.5806,0.01,500,500,22,22,0.6,0.76,16
33,0.262,0,0,35,22.4298,0,20,0,193.125,35,0.6429,1.2857,0.5806,0.01,500,500,22,22,0.6,0.76,16
34,0.262,0,0,35,22.4298,0,20,0,193.125,35,0.6429,1.2857,0.5806,0.01,500,500,22,22,0.6,0.76,16
35,0.262,0,0,35,22.4298,0,20,0,193.125,35,0.6429,1.2857,0.5806,0.01,500,500,22,22,0.6,0.76,16
36,0.262,0,0,35,22.4298,0,20,0,193.125,35,0.6429,1.2857,0.5806,0.01,500,500,22,22,0.6,0.76,16
37,0.262,0,0,35,22.4298,0,20,0,193.125,35,0.6429,1.2857,0.5806,0.01,500,500,22,22,0.6,0.76,16
38,0.262,0,0,35,22.4298,0,20,0,193.125,35,0.6429,1.2857,0.5806,0.01,500,500,22,22,0.6,0.76,16
39,0.262,0,0,35,22.4298,0,20,0,193.125,35,0.6429,1.2857,0.5806,0.01,500,500,22,22,0.6,0.76,16
40,0.262,0,0,35,22.4298,0,20,0,193.125,35,0.6429,1.2857,0.5806,0.01,500,500,22,22,0.6,0.76,16
41,0.262,0,0,35,22.4298,0,20,0,193.125,35,0.6429,1.2857,0.5806,0.01,500,500,22,22,0.6,0.76,16
42,0.262,0,0,35,22.4298,0,20,0,193.125,35,0.6429,1.2857,0.5806,0.01,500,500,22,22,0.6,0.76,16
43,0.262,0,0,35,22.4298,0,20,0,193.125,35,0.6429,1.2857,0.5806,0.01,500,500,22,22,0.6,0.76,16
44,0.262,0,0,35,22.4298,0,20,0,193.125,35,0.6429,1.2857,0.5806,0.01,500,500,22,22,0.6,0.76,16
45,0.262,0,0,35,22.4298,0,20,0,193.125,35,0.6429,1.2857,0.5806,0.01,500,500,22,22,0.6,0.76,16
46,0.262,0,0,35,22.4298,0,20,0,193.125,35,0.6429,1.2857,0.5806,0.01,500,500,22,22,0.6,0.76,16
47,0.262,0,0,35,22.4298,0,20,0,174.0625,35,1.2857,0.5,0.7097,0.01,500,500,22,22,0.6,0.76,16
48,0.262,0,0,35,22.4298,0,20,0,174.0625,35,1.2857,0.5,0.7097,0.01,500,500,22,22,0.6,0.76,16
49,0.262,0,0,35,22.4298,0,20,0,174.0625,35,1.2857,0.5,0.7097,0.01,500,500,22,22,0.6,0.76,16
50,0.262,0,0,35,22.4298,0,20,0,174.0625,35,1.2857,0.5,0.7097,0.01,500,500,22,22,0.6,0.76,16
51,0.262,0,0,35,22.4298,0,20,0,307.1875,35,1.1429,0.5,0.7419,0.01,500,500,22,22,0.6,0.76,16
52,0.262,0,0,35,22.4298,0,20,0,307.1875,35,1.1429,0.5,0.7419,0.01,500,500,22,22,0.6,0.76,16
53,0.262,0,0,35,22.4298,0,20,0,307.1875,35,1.1429,0.5,0.7419,0.01,500,500,22,22,0.6,0.76,16
54,0.262,0,0,35,22.4298,0,20,0,307.1875,35,1.1429,0.5,0.7419,0.01,500,500,22,22,0.6,0.76,16
55,0.262,0,0,35,22.4298,0,20,0,307.1875,35,1.1429,0.5,0.7419,0.01,500,500,22,22,0.6,0.76,16
56,0.27,0,0,35,23.3794,0,20,0,307.1875,35,1.1429,0.5,0.7419,0.01,500,500,22,22,0.6,0.76,16
57,0.27,0,0,35,23.3794,0,20,0,307.1875,35,1.1429,0.5,0.7419,0.01,500,500,22,22,0.6,0.76,16
58,0.27,0,0,35,23.3794,0,20,0,307.1875,35,1.1429,0.5,0.7419,0.01,500,500,22,22,0.6,0.76,16
59,0.27,0,0,35,23.3794,0,20,0,307.1875,35,1.1429,0.5,0.7419,0.01,500,500,22,22,0.6,0.76,16
60,0.2091,0,0,35,22.3498,0,20,0,307.1875,35,1.1429,0.5,0.7419,0.01,500,500,22,22,0.6,0.76,16
61,0.2091,0,0,35,22.3498,0,20,0,307.1875,35,1.1429,0.5,0.7419,0.01,500,500,22,22,0.6,0.76,16
62,0.2091,0,0,35,22.3498,0,20,0,307.1875,35,1.1429,0.5,0.7419,0.01,500,500,22,22,0.6,0.76,16
63,0.2091,0,0,35,22.3498,0,20,0,307.1875,35,1.1429,0.5,0.7419,0.01,500,500,22,22,0.6,0.76,16
64,0.2091,0,0,35,22.3498,0,20,0,307.1875,35,1.1429,0.5,0.7419,0.01,500,500,22,22,0.6,0.76,16
65,0.2091,0,0,35,22.3498,0,20,0,307.1875,35,1.1429,0.5,0.7419,0.01,500,500,22,22,0.6,0.76,16
66,0.2091,0,0,35,22.3498,0,20,0,307.1875,35,1.1429,0.5,0.7419,0.01,500,500,22,22,0.6,0.76,16
67,0.2091,0,0,35,22.3498,0,20,0,307.1875,35,1.1429,0.5,0.7419,0.01,500,500,22,22,0.6,0.76,16
68,0.2091,0,0,35,22.3498,0,20,0,307.1875,35,1.1429,0.5,0.7419,0.01,500,500,22,22,0.6,0.76,16
69,0.2091,0,0,35,22.3498,0,20,0,307.1875,35,1.1429,0.5,0.7419,0.01,500,500,22,22,0.6,0.76,16
70,0.2091,0,0,35,22.3498,0,20,0,307.1875,35,1.1429,0.5,0.7419,0.01,500,500,22,22,0.6,0.76,16
71,0.2091,0,0,35,22.3498,0,20,0,307.1875,35,1.1429,0.5,0.7419,0.01,500,500,22,22,0.6,0.76,16
72,0.2091,0,0,35,22.3498,0,20,0,307.1875,35,1.1429,0.5,0.7419,0.01,500,500,22,22,0.6,0.76,16
73,0.2091,0,0,35,22.3498,0,20,0,307.1875,35,1.1429,0.5,0.7419,0.01,500,500,22,22,0.6,0.76,16
74,0.2091,0,0,35,22.3498,0,20,0,307.1875,35,1.1429,0.5,0.7419,0.01,500,500,22,22,0.6,0.76,16
75,0.2091,0,0,35,22.3498,0,20,0,307.1875,35,1.1429,0.5,0.7419,0.01,500,500,22,22,0.6,0.76,16
76,0.2091,0,0,35,22.3498,0,20,0,307.1875,35,1.1429,0.5,0.7419,0.01,500,500,22,22,0.6,0.76,16
77,0.2091,0,0,35,22.3498,0,20,0,307.1875,35,1.1429,0.5,0.7419,0.01,500,500,22,22,0.6,0.76,16
78,0.2091,0,0,35,22.3498,0,20,0,307.1875,35,1.1429,0.5,0.7419,0.01,500,500,22,22,0.6,0.76,16
79,0.2091,0,0,35,22.3498,0,20,0,307.1875,35,1.1429,0.5,0.7419,0.01,500,500,22,22,0.6,0.76,16
80,0.2091,0,0,35,22.3498,0,20,0,307.1875,35,1.1429,0.5,0.7419,0.01,500,500,22,22,0.6,0.76,16
81,0.2091,0,0,35,22.3498,0,20,0,307.1875,35,1.1429,0.5,0.7419,0.01,500,500,22,22,0.6,0.76,16
82,0.2091,0,0,35,22.3498,0,20,0,307.1875,35,1.1429,0.5,0.7419,0.01,500,500,22,22,0.6,0.76,16
83,0.2091,0,0,35,22.3498,0,20,0,307.1875,35,1.1429,0.5,0.7419,0.01,500,500,22,22,0.6,0.76,16
84,0.2091,0,0,35,22.3498,0,20,0,307.1875,35,1.1429,0.5,0.7419,0.01,500,500,22,22,0.6,0.76,16
85,0.2091,0,0,35,22.3498,0,20,0,307.1875,35,1.1429,0.5,0.7419,0.01,500,500,22,22,0.6,0.76,16
86,0.2091,0,0,35,22.3498,0,20,0,307.1875,35,1.1429,0.5,0.7419,0.01,500,500,22,22,0.6,0.76,16
87,0.1726,0,0,35,22.1661,0,20,0,193.125,35,0.6429,1.2857,0.5806,0.01,500,500,22,22,0.6,0.76,16
88,0.1735,0,0,35,22.1662,0,20,0,193.125,35,0.6429,1.2857,0.5806,0.01,500,500,22,22,0.6,0.76,16
89,0.286,0,0,35,23.09,0,20,0,193.125,35,0.6429,1.2857,0.5806,0.01,500,500,22,22,0.6,0.76,16
90,0.286,0,0,35,23.09,0,20,0,193.125,35,0.6429,1.2857,0.5806,0.01,500,500,22,22,0.6,0.76,16
91,0.286,0,0,35,23.09,0,20,0,193.125,35,0.6429,1.2857,0.5806,0.01,500,500,22,22,0.6,0.76,16
92,0.286,0,0,35,23.09,0,20,0,193.125,35,0.6429,1.2857,0.5806,0.01,500,500,22,22,0.6,0.76,16
93,0.286,0,0,35,23.09,0,20,0,193.125,35,0.6429,1.2857,0.5806,0.01,500,500,22,22,0.6,0.76,16
94,0.286,0,0,35,23.09,0,20,0,193.125,35,0.6429,1.2857,0.5806,0.01,500,500,22,22,0.6,0.76,16
95,0.286,0,0,35,23.09,0,20,0,193.125,35,0.6429,1.2857,0.5806,0.01,500,500,22,22,0.6,0.76,16
96,0.286,0,0,35,23.09,0,20,0,193.125,35,0.6429,1.2857,0.5806,0.01,500,500,22,22,0.6,0.76,16
97,0.286,0,0,35,23.09,0,20,0,193.125,35,0.6429,1.2857,0.5806,0.01,500,500,22,22,0.6,0.76,16
98,0.286,0,0,35,23.09,0,20,0,193.125,35,0.6429,1.2857,0.5806,0.01,500,500,22,22,0.6,0.76,16
99,0.286,0,0,35,23.09,0,20,0,193.125,35,0.6429,1.2857,0.5806,0.01,500,500,22,22,0.6,0.76,16
100,0.286,0,0,35,23.09,0,20,0,193.125,35,0.6429,1.2857,0.5806,0.01,500,500,22,22,0.6,0.76,16
101,0.286,0,0,35,23.09,0,20,0,193.125,35,0.6429,1.2857,0.5806,0.01,500,500,22,22,0.6,0.76,16
102,0.286,0,0,35,23.09,0,20,0,193.125,35,0.6429,1.2857,0.5806,0.01,500,500,22,22,0.6,0.76,16
103,0.286,0,0,35,23.09,0,20,0,193.125,35,0.6429,1.2857,0.5806,0.01,500,500,22,22,0.6,0.76,16
104,0.286,0,0,35,23.09,0,20,0,193.125,35,0.6429,1.2857,0.5806,0.01,500,500,22,22,0.6,0.76,16
105,0.286,0,0,35,23.09,0,20,0,193.125,35,0.6429,1.2857,0.5806,0.01,500,500,22,22,0.6,0.76,16
106,0.286,0,0,35,23.09,0,20,0,193.125,35,0.6429,1.2857,0.5806,0.01,500,500,22,22,0.6,0.76,16
107,0.286,0,0,35,23.09,0,20,0,193.125,35,0.6429,1.2857,0.5806,0.01,500,500,22,22,0.6,0.76,16
108,0.286,0,0,35,23.09,0,20,0,193.125,35,0.6429,1.2857,0.5806,0.01,500,500,22,22,0.6,0.76,16
109,0.286,0,0,35,23.09,0,20,0,193.125,35,0.6429,1.2857,0.5806,0.01,500,500,22,22,0.6,0.76,16
110,0.286,0,0,35,23.09,0,20,0,193.125,35,0.6429,1.2857,0.5806,0.01,500,500,22,22,0.6,0.76,16
111,0.286,0,0,35,23.09,0,20,0,193.125,35,0.6429,1.2857,0.5806,0.01,500,500,22,22,0.6,0.76,16
112,0.262,0,0,35,22.4298,0,20,0,193.125,35,0.6429,1.2857,0.5806,0.01,500,500,22,22,0.6,0.76,16
113,0.262,0,0,35,22.4298,0,20,0,193.125,35,0.6429,1.2857,0.5806,0.01,500,500,22,22,0.6,0.76,16
114,0.262,0,0,35,22.4298,0,20,0,193.125,35,0.6429,1.2857,0.5806,0.01,500,500,22,22,0.6,0.76,16
115,0.262,0,0,35,22.4298,0,20,0,193.125,35,0.6429,1.2857,0.5806,0.01,500,500,22,22,0.6,0.76,16
116,0.262,0,0,35,22.4298,0,20,0,193.125,35,0.6429,1.2857,0.5806,0.01,500,500,22,22,0.6,0.76,16
117,0.262,0,0,35,22.4298,0,20,0,193.125,35,0.6429,1.2857,0.5806,0.01,500,500,22,22,0.6,0.76,16
118,0.262,0,0,35,22.4298,0,20,0,193.125,35,0.6429,1.2857,0.5806,0.01,500,500,22,22,0.6,0.76,16
119,0.262,0,0,35,22.4298,0,20,0,193.125,35,0.6429,1.2857,0.5806,0.01,500,500,22,22,0.6,0.76,16
120,0.262,0,0,35,22.4298,0,20,0,193.125,35,0.6429,1.2857,0.5806,0.01,500,500,22,22,0.6,0.76,16
121,0.262,0,0,35,22.4298,0,20,0,193.125,35,0.6429,1.2857,0.5806,0.01,500,500,22,22,0.6,0.76,16
122,0.262,0,0,35,22.4298,0,20,0,193.125,35,0.6429,1.2857,0.5806,0.01,500,500,22,22,0.6,0.76,16
123,0.262,0,0,35,22.4298,0,20,0,193.125,35,0.6429,1.2857,0.5806,0.01,500,500,22,22,0.6,0.76,16
124,0.262,0,0,35,22.4298,0,20,0,193.125,35,0.6429,1.2857,0.5806,0.01,500,500,22,22,0.6,0.76,16
125,0.262,0,0,35,22.4298,0,20,0,193.125,35,0.6429,1.2857,0.5806,0.01,500,500,22,22,0.6,0.76,16
126,0.262,0,0,35,22.4298,0,20,0,193.125,35,0.6429,1.2857,0.5806,0.01,500,500,22,22,0.6,0.76,16
127,0.262,0,0,35,22.4298,0,20,0,193.125,35,0.6429,1.2857,0.5806,0.01,500,500,22,22,0.6,0.76,16
128,0.262,0,0,35,22.4298,0,20,0,193.125,35,0.6429,1.2857,0.5806,0.01,500,500,22,22,0.6,0.76,16
129,0.262,0,0,35,22.4298,0,20,0,193.125,35,0.6429,1.2857,0.5806,0.01,500,500,22,22,0.6,0.76,16
130,0.262,0,0,35,22.4298,0,20,0,193.125,35,0.6429,1.2857,0.5806,0.01,500,500,22,22,0.6,0.76,16
131,0.262,0,0,35,22.4298,0,20,0,193.125,35,0.6429,1.2857,0.5806,0.01,500,500,22,22,0.6,0.76,16
132,0.262,0,0,35,22.4298,0,20,0,193.125,35,0.6429,1.2857,0.5806,0.01,500,500,22,22,0.6,0.76,16
133,0.262,0,0,35,22.4298,0,20,0,193.125,35,0.6429,1.2857,0.5806,0.01,500,500,22,22,0.6,0.76,16
134,0.262,0,0,35,22.4298,0,20,0,174.0625,35,1.2857,0.5,0.7097,0.01,500,500,22,22,0.6,0.76,16
135,0.262,0,0,35,22.4298,0,20,0,174.0625,35,1.2857,0.5,0.7097,0.01,500,500,22,22,0.6,0.76,16
136,0.262,0,0,35,22.4298,0,20,0,174.0625,35,1.2857,0.5,0.7097,0.01,500,500,22,22,0.6,0.76,16
137,0.262,0,0,35,22.4298,0,20,0,174.0625,35,1.2857,0.5,0.7097,0.01,500,500,22,22,0.6,0.76,16
138,0.262,0,0,35,22.4298,0,20,0,174.0625,35,1.2857,0.5,0.7097,0.01,500,500,22,22,0.6,0.76,16
139,0.262,0,0,35,22.4298,0,20,0,174.0625,35,1.2857,0.5,0.7097,0.01,500,500,22,22,0.6,0.76,16
140,0.262,0,0,35,22.4298,0,20,0,174.0625,35,1.2857,0.5,0.7097,0.01,500,500,22,22,0.6,0.76,16
141,0.262,0,0,35,22.4298,0,20,0,307.1875,35,1.1429,0.5,0.7419,0.01,500,500,22,22,0.6,0.76,16
142,0.262,0,0,35,22.4298,0,20,0,307.1875,35,1.1429,0.5,0.7419,0.01,500,500,22,22,0.6,0.76,16
143,0.262,0,0,35,22.4298,0,20,0,307.1875,35,1.1429,0.5,0.7419,0.01,500,500,22,22,0.6,0.76,16
144,0.262,0,0,35,22.4298,0,20,0,307.1875,35,1.1429,0.5,0.7419,0.01,500,500,22,22,0.6,0.76,16
145,0.262,0,0,35,22.4298,0,20,0,307.1875,35,1.1429,0.5,0.7419,0.01,500,500,22,22,0.6,0.76,16
146,0.27,0,0,35,23.3794,0,20,0,307.1875,35,1.1429,0.5,0.7419,0.01,500,500,22,22,0.6,0.76,16
147,0.27,0,0,35,23.3794,0,20,0,307.1875,35,1.1429,0.5,0.7419,0.01,500,500,22,22,0.6,0.76,16
148,0.27,0,0,35,23.3794,0,20,0,307.1875,35,1.1429,0.5,0.7419,0.01,500,500,22,22,0.6,0.76,16
149,0.27,0,0,35,23.3794,0,20,0,307.1875,35,1.1429,0.5,0.7419,0.01,500,500,22,22,0.6,0.76,16
150,0.27,0,0,35,23.3794,0,20,0,307.1875,35,1.1429,0.5,0.7419,0.01,500,500,22,22,0.6,0.76,16
151,0.2091,0,0,35,22.3498,0,20,0,307.1875,35,1.1429,0.5,0.7419,0.01,500,500,22,22,0.6,0.76,16
152,0.2091,0,0,35,22.3498,0,20,0,307.1875,35,1.1429,0.5,0.7419,0.01,500,500,22,22,0.6,0.76,16
153,0.2091,0,0,35,22.3498,0,20,0,307.1875,35,1.1429,0.5,0.7419,0.01,500,500,22,22,0.6,0.76,16
154,0.2091,0,0,35,22.3498,0,20,0,307.1875,35,1.1429,0.5,0.7419,0.01,500,500,22,22,0.6,0.76,16
155,0.2091,0,0,35,22.3498,0,20,0,307.1875,35,1.1429,0.5,0.7419,0.01,500,500,22,22,0.6,0.76,16
156,0.2091,0,0,35,22.3498,0,20,0,307.1875,35,1.1429,0.5,0.7419,0.01,500,500,22,22,0.6,0.76,16
157,0.2091,0,0,35,22.3498,0,20,0,307.1875,35,1.1429,0.5,0.7419,0.01,500,500,22,22,0.6,0.76,16
158,0.2091,0,0,35,22.3498,0,20,0,307.1875,35,1.1429,0.5,0.7419,0.01,500,500,22,22,0.6,0.76,16
159,0.2091,0,0,35,22.3498,0,20,0,307.1875,35,1.1429,0.5,0.7419,0.01,500,500,22,22,0.6,0.76,16
160,0.2091,0,0,35,22.3498,0,20,0,307.1875,35,1.1429,0.5,0.7419,0.01,500,500,22,22,0.6,0.76,16
161,0.2091,0,0,35,22.3498,0,20,0,307.1875,35,1.1429,0.5,0.7419,0.01,500,500,22,22,0.6,0.76,16
162,0.2091,0,0,35,22.3498,0,20,0,307.1875,35,1.1429,0.5,0.7419,0.01,500,500,22,22,0.6,0.76,16
163,0.2091,0,0,35,22.3498,0,20,0,307.1875,35,1.1429,0.5,0.7419,0.01,500,500,22,22,0.6,0.76,16
164,0.2091,0,0,35,22.3498,0,20,0,307.1875,35,1.1429,0.5,0.7419,0.01,500,500,22,22,0.6,0.76,16
165,0.2091,0,0,35,22.3498,0,20,0,307.1875,35,1.1429,0.5,0.7419,0.01,500,500,22,22,0.6,0.76,16
166,0.2091,0,0,35,22.3498,0,20,0,307.1875,35,1.1429,0.5,0.7419,0.01,500,500,22,22,0.6,0.76,16
167,0.2091,0,0,35,22.3498,0,20,0,307.1875,35,1.1429,0.5,0.7419,0.01,500,500,22,22,0.6,0.76,16
168,0.2091,0,0,35,22.3498,0,20,0,307.1875,35,1.1429,0.5,0.7419,0.01,500,500,22,22,0.6,0.76,16
169,0.2091,0,0,35,22.3498,0,20,0,307.1875,35,1.1429,0.5,0.7419,0.01,500,500,22,22,0.6,0.76,16
170,0.2091,0,0,35,22.3498,0,20,0,307.1875,35,1.1429,0.5,0.7419,0.01,500,500,22,22,0.6,0.76,16
171,0.2091,0,0,35,22.3498,0,20,0,307.1875,35,1.1429,0.5,0.7419,0.01,500,500,22,22,0.6,0.76,16
172,0.2091,0,0,35,22.3498,0,20,0,307.1875,35,1.1429,0.5,0.7419,0.01,500,500,22,22,0.6,0.76,16
173,0.2091,0,0,35,22.3498,0,20,0,307.1875,35,1.1429,0.5,0.7419,0.01,500,500,22,22,0.6,0.76,16
174,0.2091,0,0,35,22.3498,0,20,0,307.1875,35,1.1429,0.5,0.7419,0.01,500,500,22,22,0.6,0.76,16
175,0.2091,0,0,35,22.3498,0,20,0,307.1875,35,1.1429,0.5,0.7419,0.01,500,500,22,22,0.6,0.76,16
176,0.2091,0,0,35,22.3498,0,20,0,307.1875,35,1.1429,0.5,0.7419,0.01,500,500,22,22,0.6,0.76,16
177,0.2091,0,0,35,22.3498,0,20,0,307.1875,35,1.1429,0.5,0.7419,0.01,500,500,22,22,0.6,0.76,16
178,0.1771,0,0,35,22.1329,0,20,0,193.125,35,0.6429,1.2857,0.5806,0.01,500,500,22,22,0.6,0.76,16
179,0.1778,0,0,35,22.1335,0,20,0,193.125,35,0.6429,1.2857,0.5806,0.01,500,500,22,22,0.6,0.76,16
180,0.1749,0,0,35,22.1604,0,20,0,193.125,35,0.6429,1.2857,0.5806,0.01,500,500,22,22,0.6,0.76,16
181,0.1783,0,0,35,22.1362,0,20,0,193.125,35,0.6429,1.2857,0.5806,0.01,500,500,22,22,0.6,0.76,16
182,0.175,0,0,35,22.1664,0,20,0,193.125,35,0.6429,1.2857,0.5806,0.01,500,500,22,22,0.6,0.76,16
183,0.1739,0,0,35,22.179,0,20,0,193.125,35,0.6429,1.2857,0.5806,0.01,500,500,22,22,0.6,0.76,16
184,0.1784,0,0,35,22.1413,0,20,0,193.125,35,0.6429,1.2857,0.5806,0.01,500,500,22,22,0.6,0.76,16
185,0.286,0,0,35,23.09,0,20,0,193.125,35,0.6429,1.2857,0.5806,0.01,500,500,22,22,0.6,0.76,16
186,0.286,0,0,35,23.09,0,20,0,193.125,35,0.6429,1.2857,0.5806,0.01,500,500,22,22,0.6,0.76,16
187,0.286,0,0,35,23.09,0,20,0,193.125,35,0.6429,1.2857,0.5806,0.01,500,500,22,22,0.6,0.76,16
188,0.286,0,0,35,23.09,0,20,0,193.125,35,0.6429,1.2857,0.5806,0.01,500,500,22,22,0.6,0.76,16
189,0.286,0,0,35,23.09,0,20,0,193.125,35,0.6429,1.2857,0.5806,0.01,500,500,22,22,0.6,0.76,16
190,0.286,0,0,35,23.09,0,20,0,193.125,35,0.6429,1.2857,0.5806,0.01,500,500,22,22,0.6,0.76,16
191,0.286,0,0,35,23.09,0,20,0,193.125,35,0.6429,1.2857,0.5806,0.01,500,500,22,22,0.6,0.76,16
192,0.286,0,0,35,23.09,0,20,0,193.125,35,0.6429,1.2857,0.5806,0.01,500,500,22,22,0.6,0.76,16
193,0.286,0,0,35,23.09,0,20,0,193.125,35,0.6429,1.2857,0.5806,0.01,500,500,22,22,0.6,0.76,16
194,0.286,0,0,35,23.09,0,20,0,193.125,35,0.6429,1.2857,0.5806,0.01,500,500,22,22,0.6,0.76,16
195,0.286,0,0,35,23.09,0,20,0,193.125,35,0.6429,1.2857,0.5806,0.01,500,500,22,22,0.6,0.76,16
196,0.286,0,0,35,23.09,0,20,0,193.125,35,0.6429,1.2857,0.5806,0.01,500,500,22,22,0.6,0.76,16
197,0.286,0,0,35,23.09,0,20,0,193.125,35,0.6429,1.2857,0.5806,0.01,500,500,22,22,0.6,0.76,16
198,0.286,0,0,35,23.09,0,20,0,193.125,35,0.6429,1.2857,0.5806,0.01,500,500,22,22,0.6,0.76,16
199,0.286,0,0,35,23.09,0,20,0,193.125,35,0.6429,1.2857,0.5806,0.01,500,500,22,22,0.6,0.76,16
200,0.286,0,0,35,23.09,0,20,0,193.125,35,0.6429,1.2857,0.5806,0.01,500,500,22,22,0.6,0.76,16
201,0.286,0,0,35,23.09,0,20,0,193.125,35,0.6429,1.2857,0.5806,0.01,500,500,22,22,0.6,0.76,16
202,0.286,0,0,35,23.09,0,20,0,193.125,35,0.6429,1.2857,0.5806,0.01,500,500,22,22,0.6,0.76,16
203,0.286,0,0,35,23.09,0,20,0,193.125,35,0.6429,1.2857,0.5806,0.01,500,500,22,22,0.6,0.76,16
204,0.262,0,0,35,22.4298,0,20,0,193.125,35,0.6429,1.2857,0.5806,0.01,500,500,22,22,0.6,0.76,16
205,0.262,0,0,35,22.4298,0,20,0,193.125,35,0.6429,1.2857,0.5806,0.01,500,500,22,22,0.6,0.76,16
206,0.262,0,0,35,22.4298,0,20,0,193.125,35,0.6429,1.2857,0.5806,0.01,500,500,22,22,0.6,0.76,16
207,0.262,0,0,35,22.4298,0,20,0,193.125,35,0.6429,1.2857,0.5806,0.01,500,500,22,22,0.6,0.76,16
208,0.262,0,0,35,22.4298,0,20,0,193.125,35,0.6429,1.2857,0.5806,0.01,500,500,22,22,0.6,0.76,16
